id,x,y,AEM_Re,AEM_ReIm,AM_DGRF
404,488560.20816556,6948925.37020463,10.5488,0.36451,-59.570599
405,489060.20816556,6948925.37020463,23.514299,0.026234,-261.701996
406,489560.20816556,6948925.37020463,110.591003,0.49376,34.000599
407,490060.20816556,6948925.37020463,107.616997,3.72805,-146.173004
408,490560.20816556,6948925.37020463,538.299011,1.25504,43.321499
409,491060.20816556,6948925.37020463,540.078979,1.09343,68.264297
410,491560.20816556,6948925.37020463,989.096985,1.10267,485.868011
411,492060.20816556,6948925.37020463,733.992004,1.06382,383.316986
412,492560.20816556,6948925.37020463,301.583008,0.679149,-29.2111
413,493060.20816556,6948925.37020463,92.560799,0.158007,-466.72699
414,493560.20816556,6948925.37020463,249.787003,0.27129,-494.609009
415,494060.20816556,6948925.37020463,376.606995,0.515018,-80.272301
416,494560.20816556,6948925.37020463,347.212006,0.521354,-253.897995
417,495060.20816556,6948925.37020463,1155.150024,1.48455,615.151978
